
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      2.5
-0.656566 -3.06716  2 
-0.678634 -3.07229  2 
-0.757576 -3.09072  2 
-0.858586 -3.1009  2 
-0.959596 -3.0941  2 


# Contour 5, label:      1.5
-0.0932955  3.51406  1.5 
-0.151515  3.47402  1.5 
-0.151717  3.4739  1.5 
-0.216392  3.43373  1.5 
-0.252525  3.41153  1.5 
-0.284656  3.39357  1.5 
-0.353535  3.3551  1.5 
-0.356918  3.35341  1.5 
-0.437129  3.31325  1.5 
-0.454545  3.30442  1.5 
-0.524965  3.27309  1.5 
-0.555556  3.25915  1.5 
-0.622996  3.23293  1.5 
-0.656566  3.21942  1.5 
-0.737017  3.19277  1.5 
-0.757576  3.18564  1.5 
-0.858586  3.15859  1.5 
-0.891678  3.15261  1.5 
-0.959596  3.13945  1.5 
-1.06061  3.13012  1.5 
-1.16162  3.1336  1.5 

# Contour 6, label: 
-1.16162  3.1336  1.5 
-1.25262  3.15261  1.5 
-1.26263  3.15501  1.5 
-1.34259  3.19277  1.5 
-1.36364  3.20474  1.5 
-1.39662  3.23293  1.5 
-1.43572  3.27309  1.5 
-1.46465  3.30943  1.5 
-1.46697  3.31325  1.5 
-1.48853  3.35341  1.5 
-1.50636  3.39357  1.5 
-1.52099  3.43373  1.5 
-1.53284  3.4739  1.5 
-1.54225  3.51406  1.5 
-1.54949  3.55422  1.5 
-1.55478  3.59438  1.5 
-1.55828  3.63454  1.5 
-1.56014  3.6747  1.5 
-1.56046  3.71486  1.5 
-1.55932  3.75502  1.5 
-1.55678  3.79518  1.5 
-1.55288  3.83534  1.5 
-1.54763  3.8755  1.5 
-1.54106  3.91566  1.5 
-1.53314  3.95582  1.5 
-1.52385  3.99598  1.5 
-1.51315  4.03614  1.5 
-1.50099  4.07631  1.5 
-1.4873  4.11647  1.5 
-1.47199  4.15663  1.5 
-1.46465  4.17398  1.5 
-1.45399  4.19679  1.5 
-1.43329  4.23695  1.5 
-1.4105  4.27711  1.5 
-1.38544  4.31727  1.5 
-1.36364  4.34916  1.5 
-1.35728  4.35743  1.5 
-1.32377  4.39759  1.5 
-1.28716  4.43775  1.5 
-1.26263  4.46253  1.5 
-1.24517  4.47791  1.5 
-1.19599  4.51807  1.5 
-1.16162  4.54404  1.5 
-1.13961  4.55823  1.5 
-1.07293  4.59839  1.5 
-1.06061  4.60536  1.5 
-0.990312  4.63855  1.5 
-0.959596  4.65226  1.5 
-0.886478  4.67871  1.5 
-0.858586  4.68837  1.5 
-0.757576  4.71565  1.5 
-0.741167  4.71888  1.5 
-0.656566  4.73512  1.5 
-0.555556  4.74774  1.5 
-0.454545  4.75366  1.5 
-0.353535  4.75271  1.5 
-0.252525  4.74443  1.5 
-0.151515  4.72808  1.5 
-0.113776  4.71888  1.5 
